Min,Max,Avg,Std,Generation
-1.2906859975677889e+47,3.850159214782098e+41,-2.813620362509785e+44,5.776990567914388e+45,1
-3.841893674874369e+45,9.776116352841142e+41,-9.012829184744346e+42,1.7286695370704128e+44,2
-2.0779496838840253e+39,1.7791294654638122e+38,-7.752503221098829e+36,1.1405135684486483e+38,3
-5.896862816039912e+46,4.034622714719986e+43,-1.29216059716838e+44,2.645818298235164e+45,4
-5.438853610967076e+43,6.5285393980778304e+38,-1.110264153937869e+41,2.4301886650318686e+42,5
-2.41180372133829e+45,3.492255713639323e+43,-8.529742857355457e+42,1.3284920328781891e+44,6
-1.4601615745306436e+46,1.144077097100451e+40,-3.0307043309387445e+43,6.527594136329615e+44,7
-8.166425916748058e+45,2.266006082566992e+43,-2.2128305264887877e+43,3.779074707738027e+44,8
-2.4203565648925706e+47,3.2151037077751776e+38,-5.222862787591563e+44,1.0841599348942675e+46,9
-4.290033902304331e+46,1.1978848612676184e+41,-8.784425639531768e+43,1.9168121429431633e+45,10
-1.908442113325783e+44,9.551602431498367e+37,-4.5626374442168956e+41,8.614775927459874e+42,11
-2.3342245748737372e+45,2.069598533250922e+44,-5.12848140225077e+42,1.0535144112803206e+44,12
-5.005286040189084e+46,3.0075635132830666e+42,-1.0047470281193734e+44,2.2361837634825803e+45,13
-1.5571424071318163e+43,1.1365862050028346e+44,1.9643607509803784e+41,5.126702290060318e+42,14
-5.8210630208043356e+44,2.6672368661691157e+39,-1.1666125360565205e+42,2.600648616488459e+43,15
-2.9185668410239994e+45,1.8307364195744526e+36,-5.970712134366372e+42,1.3040469037668033e+44,16
-4.523007750678396e+45,6.269009935045836e+38,-9.275422545027034e+42,2.0212211884044604e+44,17
-8.467800251239449e+45,8.89213580653599e+42,-2.0180528636253673e+43,3.83609147405489e+44,18
-4.4910090305350485e+45,9.689366903976102e+38,-1.0943300890470651e+43,2.0290961029988565e+44,19
-2.3863407270690484e+45,2.0752004555433813e+39,-8.0315597246087e+42,1.2883995553578615e+44,20
-3.170577761195119e+45,9.381902954443424e+38,-6.42343975817562e+42,1.4165841101966554e+44,21
-4.857624538074146e+43,1.8709668202759778e+39,-1.1666858278202879e+41,2.2124657421217778e+42,22
-2.451891040873295e+47,1.3594132464075088e+42,-4.94805991419893e+44,1.0954257726592197e+46,23
-2.1396171397642733e+46,4.630115068172497e+43,-4.302846416327526e+43,9.55925338088104e+44,24
-3.2056666867785485e+45,1.1415404097618528e+40,-1.3106369200882964e+43,1.6899094540873734e+44,25
-3.520730738661194e+45,4.530795639005358e+41,-7.050180183458209e+42,1.5729407185058164e+44,26
-4.363448016830467e+45,2.8540924932694836e+43,-1.1828417527734667e+43,2.071215225428177e+44,27
-8.319575276630346e+46,2.6727804458772142e+39,-1.7299031102337003e+44,3.719121439770692e+45,28
-3.0699949208043206e+46,1.212314409306049e+35,-6.140455937960453e+43,1.3715696308443655e+45,29
-1.3450127688229109e+47,2.610866119287346e+42,-4.192800784513222e+44,6.877206661925929e+45,30
-9.377193706098595e+44,1.6998641912016995e+34,-1.877155158746845e+42,4.1894056747169606e+43,31
-3.3882251019928853e+41,2.7716564233101606e+43,5.416744490330099e+40,1.238500826606149e+42,32
-4.226536865125878e+46,9.432705453320351e+38,-8.461497478330346e+43,1.888270280986644e+45,33
-6.190298766583715e+44,1.8971477683749652e+44,-1.2740810265617296e+42,3.001908936916516e+43,34
-1.0042212997938927e+44,7.64786199577471e+40,-2.43534215466922e+41,4.546720536580762e+42,35
-1.0069773515325713e+45,6.210424535701676e+42,-2.0089686720305434e+42,4.498994391893432e+43,36
-8.544470887118091e+45,2.9285380582402934e+41,-3.1356923269945053e+43,4.676877321944102e+44,37
-1.1716481028822265e+46,2.8834496364719222e+41,-3.0961151253152363e+43,5.3596669348261795e+44,38
-7.246595850901853e+44,8.837836310145847e+41,-1.480159184163151e+42,3.2380085120232206e+43,39
-4.297591898620216e+46,2.6839711331617253e+44,-1.6098477516185303e+44,2.552933853965429e+45,40
-1.2565232877994914e+45,1.5332207304942908e+39,-2.5135907737421275e+42,5.613718506584523e+43,41
-7.384693411534601e+45,4.757715319361199e+43,-1.8727857470919043e+43,3.418626042777841e+44,42
-1.7789837228161003e+47,1.1790883113132346e+40,-3.636607881331689e+44,7.949199113469776e+45,43
-1.4740858890969183e+44,1.5595917467850754e+41,-3.9221718225014435e+41,6.759586914563321e+42,44
-3.0696945793960664e+44,2.836828115450829e+41,-6.136325809351107e+41,1.3714376836778963e+43,45
-2.1380819755950788e+44,2.8665155743037733e+43,-4.881858115722431e+41,9.987853388675921e+42,46
-5.684796485467968e+44,5.531112952670467e+42,-1.3387901883311948e+42,2.570139623339979e+43,47
-2.616887147204126e+43,3.450079630769787e+39,-9.074768616113789e+40,1.3661655182051641e+42,48
-1.0194057569946407e+47,1.0473169158135606e+38,-2.7184255065590907e+44,4.7972795892788775e+45,49
